,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0,0.552631578947,0.469135802469,0.553191489362,0.939252336449,0.527272727273,0.551282051282,0.636752136752,0.935353535354,0.232876712329,0.425925925926,0.0689655172414,0.5
1,0.368421052632,0.543209876543,0.510638297872,0.0467289719626,0.6,0.153846153846,0.474358974359,0.463973063973,0.643835616438,0.5,0.189655172414,0.5
2,0.842105263158,0.493827160494,0.63829787234,0.294392523364,0.618181818182,0.358974358974,0.324786324786,0.538047138047,0.58904109589,0.407407407407,0.293103448276,0.5
3,0.605263157895,0.37037037037,0.468085106383,0.369158878505,0.763636363636,0.576923076923,0.705128205128,0.571717171717,0.493150684932,0.333333333333,0.258620689655,0.5
4,0.605263157895,0.37037037037,0.468085106383,0.369158878505,0.763636363636,0.576923076923,0.705128205128,0.571717171717,0.493150684932,0.333333333333,0.258620689655,0.5
5,0.842105263158,0.493827160494,0.63829787234,0.294392523364,0.618181818182,0.358974358974,0.324786324786,0.538047138047,0.58904109589,0.407407407407,0.293103448276,0.5
6,0.342105263158,0.592592592593,0.127659574468,0.299065420561,0.527272727273,0.358974358974,0.491452991453,0.524579124579,0.479452054795,0.462962962963,0.206896551724,0.5
7,0.552631578947,0.469135802469,0.553191489362,0.939252336449,0.527272727273,0.551282051282,0.636752136752,0.935353535354,0.232876712329,0.425925925926,0.0689655172414,0.5
8,0.368421052632,0.543209876543,0.510638297872,0.0467289719626,0.6,0.153846153846,0.474358974359,0.463973063973,0.643835616438,0.5,0.189655172414,0.5
9,0.842105263158,0.345679012346,0.702127659574,0.0420560747664,0.509090909091,0.333333333333,0.461538461538,0.450505050505,0.534246575342,0.425925925926,0.448275862069,0.5
10,0.842105263158,0.469135802469,0.659574468085,0.0397196261682,0.309090909091,0.115384615385,0.179487179487,0.248484848485,0.219178082192,0.62962962963,0.620689655172,0.333333333333
11,0.973684210526,0.37037037037,0.63829787234,0.168224299065,0.345454545455,0.192307692308,0.376068376068,0.511111111111,0.424657534247,0.574074074074,0.224137931034,0.333333333333
12,0.789473684211,0.246913580247,0.574468085106,0.0280373831776,0.436363636364,0.179487179487,0.230769230769,0.329292929293,0.479452054795,0.759259259259,0.413793103448,0.333333333333
13,0.447368421053,0.197530864198,0.63829787234,0.0420560747664,0.509090909091,0.589743589744,0.521367521368,0.275420875421,0.972602739726,0.555555555556,0.689655172414,0.666666666667
15,0.447368421053,0.222222222222,0.595744680851,0.0420560747664,0.290909090909,0.333333333333,0.388888888889,0.288888888889,0.575342465753,0.611111111111,0.51724137931,0.666666666667
18,0.657894736842,0.641975308642,0.68085106383,0.0233644859813,0.309090909091,0.192307692308,0.641025641026,0.309090909091,0.397260273973,0.574074074074,0.5,0.5
19,0.421052631579,0.567901234568,0.0851063829787,0.322429906542,0.509090909091,0.410256410256,0.478632478632,0.564983164983,0.534246575342,0.518518518519,0.189655172414,0.333333333333
21,0.394736842105,0.567901234568,0.595744680851,0.107476635514,0.4,0.217948717949,0.346153846154,0.275420875421,0.465753424658,0.240740740741,0.448275862069,0.666666666667
22,0.5,0.444444444444,0.68085106383,0.0514018691589,0.6,0.5,0.431623931624,0.396632996633,0.876712328767,0.481481481481,0.362068965517,0.833333333333
24,0.447368421053,0.469135802469,0.659574468085,0.0327102803738,0.654545454545,0.179487179487,0.517094017094,0.538047138047,0.808219178082,0.462962962963,0.275862068966,0.5
25,0.552631578947,0.41975308642,0.468085106383,0.392523364486,0.545454545455,0.692307692308,0.957264957265,0.564983164983,0.575342465753,0.518518518519,0.344827586207,0.5
26,0.526315789474,0.395061728395,0.531914893617,0.018691588785,0.654545454545,0.423076923077,0.534188034188,0.396632996633,0.849315068493,0.407407407407,0.275862068966,0.5
27,0.552631578947,0.493827160494,0.617021276596,0.378504672897,0.636363636364,0.384615384615,0.512820512821,0.605387205387,0.753424657534,0.574074074074,0.362068965517,0.5
28,0.657894736842,0.469135802469,0.808510638298,0.0233644859813,0.563636363636,0.192307692308,0.474358974359,0.288888888889,0.493150684932,0.5,0.551724137931,0.5
29,0.605263157895,0.592592592593,0.553191489362,0.0654205607477,0.309090909091,0.448717948718,0.397435897436,0.235016835017,0.369863013699,0.907407407407,0.672413793103,0.666666666667
30,0.947368421053,0.395061728395,0.617021276596,0.457943925234,0.509090909091,0.230769230769,0.517094017094,0.692929292929,0.506849315068,0.574074074074,0.275862068966,0.5
31,0.894736842105,0.148148148148,0.510638297872,0.0233644859813,0.472727272727,0.0641025641026,0.111111111111,0.423569023569,0.876712328767,0.333333333333,0.310344827586,0.5
32,0.657894736842,0.41975308642,0.553191489362,0.0677570093458,0.618181818182,0.371794871795,0.337606837607,0.329292929293,0.493150684932,0.407407407407,0.413793103448,0.5
33,0.342105263158,0.0987654320988,0.510638297872,0.0420560747664,0.527272727273,0.525641025641,0.410256410256,0.457239057239,0.808219178082,0.537037037037,0.103448275862,0.5
34,0.236842105263,0.469135802469,0.212765957447,0.670560747664,0.509090909091,0.25641025641,0.675213675214,0.612121212121,0.739726027397,0.277777777778,0.310344827586,0.333333333333
36,0.421052631579,0.765432098765,0.276595744681,0.224299065421,0.636363636364,0.294871794872,0.547008547009,0.423569023569,0.561643835616,0.240740740741,0.275862068966,0.333333333333
37,0.552631578947,0.617283950617,0.468085106383,0.0280373831776,0.672727272727,0.461538461538,0.5,0.235016835017,0.41095890411,0.111111111111,0.48275862069,0.5
38,0.631578947368,0.395061728395,0.617021276596,0.810747663551,0.745454545455,0.551282051282,0.547008547009,0.861279461279,0.520547945205,0.259259259259,0.0344827586207,0.333333333333
39,0.631578947368,0.395061728395,0.617021276596,0.810747663551,0.745454545455,0.551282051282,0.547008547009,0.861279461279,0.520547945205,0.259259259259,0.0344827586207,0.333333333333
42,0.552631578947,0.567901234568,0.340425531915,0.317757009346,0.963636363636,0.333333333333,0.594017094017,0.558249158249,0.41095890411,0.444444444444,0.241379310345,0.5
